name;id;results;time;error;timestamps;timestampsMin;timestampsMax;httpRequests;restarts
interactive-discover-1;0;6;18814;false;14089 14117 14451 16687 17044 19014;14089 14117 14451 16687 17044 19014;14089 14117 14451 16687 17044 19014;127;1
interactive-discover-1;1;4;7474;false;7764 8221 8221 8224;7764 8221 8221 8224;7764 8221 8221 8224;19;0
interactive-discover-1;2;1;7107;false;7603;7603;7603;16;0
interactive-discover-1;3;14;18195;false;9851 9880 9994 10113 10204 10303 12754 12943 12953 12999 13038 14973 15782 17299;9851 9880 9994 10113 10204 10303 12754 12943 12953 12999 13038 14973 15782 17299;9851 9880 9994 10113 10204 10303 12754 12943 12953 12999 13038 14973 15782 17299;223;1
interactive-discover-1;4;8;19594;false;13824 15915 16637 16821 19056 19056 19056 19593;13824 15915 16637 16821 19056 19056 19056 19593;13824 15915 16637 16821 19056 19056 19056 19593;122;1
interactive-discover-2;0;66;19108;false;11761 11782 11859 11945 11989 12038 12089 12133 12166 12224 12265 12312 12352 12397 12434 12475 12515 12555 12595 12628 12666 15423 15452 15794 16422 19071 19072 19073 19073 19076 19078 19084 19092 19093 19096 19097 19097 19097 19098 19098 19098 19099 19401 19402 19403 19404 19405 19405 19405 19405 19406 19406 19407 19407 19407 19407 19408 19408 19408 19408 19408 19409 19409 19409 19409 21005;11761 11782 11859 11945 11989 12038 12089 12133 12166 12224 12265 12312 12352 12397 12434 12475 12515 12555 12595 12628 12666 15423 15452 15794 16422 19071 19072 19073 19073 19076 19078 19084 19092 19093 19096 19097 19097 19097 19098 19098 19098 19099 19401 19402 19403 19404 19405 19405 19405 19405 19406 19406 19407 19407 19407 19407 19408 19408 19408 19408 19408 19409 19409 19409 19409 21005;11761 11782 11859 11945 11989 12038 12089 12133 12166 12224 12265 12312 12352 12397 12434 12475 12515 12555 12595 12628 12666 15423 15452 15794 16422 19071 19072 19073 19073 19076 19078 19084 19092 19093 19096 19097 19097 19097 19098 19098 19098 19099 19401 19402 19403 19404 19405 19405 19405 19405 19406 19406 19407 19407 19407 19407 19408 19408 19408 19408 19408 19409 19409 19409 19409 21005;128;1
interactive-discover-2;1;46;8132;false;8464 8465 8466 8467 8468 8468 8469 8470 8471 8471 8472 8473 8477 8477 8477 8477 8477 8481 8481 8481 8481 8481 8481 8482 8483 8488 8493 8493 8493 8493 8493 8493 8493 8493 8494 8494 8494 8495 8495 8496 8496 8496 8497 8497 8497 8506;8464 8465 8466 8467 8468 8468 8469 8470 8471 8471 8472 8473 8477 8477 8477 8477 8477 8481 8481 8481 8481 8481 8481 8482 8483 8488 8493 8493 8493 8493 8493 8493 8493 8493 8494 8494 8494 8495 8495 8496 8496 8496 8497 8497 8497 8506;8464 8465 8466 8467 8468 8468 8469 8470 8471 8471 8472 8473 8477 8477 8477 8477 8477 8481 8481 8481 8481 8481 8481 8482 8483 8488 8493 8493 8493 8493 8493 8493 8493 8493 8494 8494 8494 8495 8495 8496 8496 8496 8497 8497 8497 8506;20;0
interactive-discover-2;2;32;7236;false;7766 7767 7768 7769 7770 7771 7772 7772 7775 7776 7777 7781 7781 7782 7783 7784 7785 7785 7786 7786 7787 7787 7788 7788 7789 7789 7790 7790 7791 7791 7791 7792;7766 7767 7768 7769 7770 7771 7772 7772 7775 7776 7777 7781 7781 7782 7783 7784 7785 7785 7786 7786 7787 7787 7788 7788 7789 7789 7790 7790 7791 7791 7791 7792;7766 7767 7768 7769 7770 7771 7772 7772 7775 7776 7777 7781 7781 7782 7783 7784 7785 7785 7786 7786 7787 7787 7788 7788 7789 7789 7790 7790 7791 7791 7791 7792;17;0
interactive-discover-2;3;198;29816;false;10181 10262 10401 11744 11820 11882 11956 11980 12018 12048 12089 12121 12135 12291 12291 12390 12390 12508 12508 12604 12604 12669 12674 12785 12834 12900 13126 13181 13250 13271 13902 13923 13998 14073 14130 14175 14237 14302 14590 14654 14711 14734 14819 14895 14941 15009 15054 15067 15125 15342 15424 15492 15545 15616 15714 15783 15803 15851 16176 16223 16242 16313 16428 16532 16589 16602 23663 23927 23962 23977 24019 24066 24109 24173 24188 24218 24260 24309 24353 24847 25058 25058 25163 25163 25209 25209 25376 25376 25504 25546 25863 25880 25925 25980 26056 26100 26112 26149 26182 26231 26311 26354 26384 26408 26656 26741 26798 26866 26915 26984 27076 27168 27225 27281 27317 27392 27593 27647 27769 27817 27864 27921 28003 28092 28227 28556 28618 28678 28751 28797 28849 28862 28901 28956 29007 29160 29449 29494 29507 29532 29562 29588 29639 29651 29665 29669 29708 29750 29753 29756 29758 29760 29770 29779 29780 29782 29799 29808 29811 29824 29824 29832 29832 29835 29835 29841 29841 29843 29843 29846 29846 29847 29848 29848 29848 29849 29849 29849 29849 29850 29850 29851 29851 29851 29851 29852 29852 29852 29856 29856 29856 29856 29856 29856 29857 29857 29857 29859;10181 10262 10401 11744 11820 11882 11956 11980 12018 12048 12089 12121 12135 12291 12291 12390 12390 12508 12508 12604 12604 12669 12674 12785 12834 12900 13126 13181 13250 13271 13902 13923 13998 14073 14130 14175 14237 14302 14590 14654 14711 14734 14819 14895 14941 15009 15054 15067 15125 15342 15424 15492 15545 15616 15714 15783 15803 15851 16176 16223 16242 16313 16428 16532 16589 16602 23663 23927 23962 23977 24019 24066 24109 24173 24188 24218 24260 24309 24353 24847 25058 25058 25163 25163 25209 25209 25376 25376 25504 25546 25863 25880 25925 25980 26056 26100 26112 26149 26182 26231 26311 26354 26384 26408 26656 26741 26798 26866 26915 26984 27076 27168 27225 27281 27317 27392 27593 27647 27769 27817 27864 27921 28003 28092 28227 28556 28618 28678 28751 28797 28849 28862 28901 28956 29007 29160 29449 29494 29507 29532 29562 29588 29639 29651 29665 29669 29708 29750 29753 29756 29758 29760 29770 29779 29780 29782 29799 29808 29811 29824 29824 29832 29832 29835 29835 29841 29841 29843 29843 29846 29846 29847 29848 29848 29848 29849 29849 29849 29849 29850 29850 29851 29851 29851 29851 29852 29852 29852 29856 29856 29856 29856 29856 29856 29857 29857 29857 29859;10181 10262 10401 11744 11820 11882 11956 11980 12018 12048 12089 12121 12135 12291 12291 12390 12390 12508 12508 12604 12604 12669 12674 12785 12834 12900 13126 13181 13250 13271 13902 13923 13998 14073 14130 14175 14237 14302 14590 14654 14711 14734 14819 14895 14941 15009 15054 15067 15125 15342 15424 15492 15545 15616 15714 15783 15803 15851 16176 16223 16242 16313 16428 16532 16589 16602 23663 23927 23962 23977 24019 24066 24109 24173 24188 24218 24260 24309 24353 24847 25058 25058 25163 25163 25209 25209 25376 25376 25504 25546 25863 25880 25925 25980 26056 26100 26112 26149 26182 26231 26311 26354 26384 26408 26656 26741 26798 26866 26915 26984 27076 27168 27225 27281 27317 27392 27593 27647 27769 27817 27864 27921 28003 28092 28227 28556 28618 28678 28751 28797 28849 28862 28901 28956 29007 29160 29449 29494 29507 29532 29562 29588 29639 29651 29665 29669 29708 29750 29753 29756 29758 29760 29770 29779 29780 29782 29799 29808 29811 29824 29824 29832 29832 29835 29835 29841 29841 29843 29843 29846 29846 29847 29848 29848 29848 29849 29849 29849 29849 29850 29850 29851 29851 29851 29851 29852 29852 29852 29856 29856 29856 29856 29856 29856 29857 29857 29857 29859;224;1
interactive-discover-2;4;98;20257;false;15221 15271 15346 15406 15859 15907 16631 18777 18803 18838 18848 18863 18866 18880 19059 19090 19132 19205 19273 19283 19302 19335 19407 19462 19472 19488 19511 19545 19552 19590 19609 19641 19673 19683 19700 19715 19729 19762 19769 19808 19834 19860 20012 20092 20092 20166 20166 20234 20234 20287 20287 20326 20326 20346 20346 20348 20348 20349 20349 20369 20369 20371 20371 20373 20373 20374 20374 20375 20375 20375 20376 20376 20377 20379 20379 20379 20379 20379 20379 20379 20379 20380 20384 20384 20384 20385 20385 20385 20386 20386 20386 20386 20387 20387 20387 20387 20388 20389;15221 15271 15346 15406 15859 15907 16631 18777 18803 18838 18848 18863 18866 18880 19059 19090 19132 19205 19273 19283 19302 19335 19407 19462 19472 19488 19511 19545 19552 19590 19609 19641 19673 19683 19700 19715 19729 19762 19769 19808 19834 19860 20012 20092 20092 20166 20166 20234 20234 20287 20287 20326 20326 20346 20346 20348 20348 20349 20349 20369 20369 20371 20371 20373 20373 20374 20374 20375 20375 20375 20376 20376 20377 20379 20379 20379 20379 20379 20379 20379 20379 20380 20384 20384 20384 20385 20385 20385 20386 20386 20386 20386 20387 20387 20387 20387 20388 20389;15221 15271 15346 15406 15859 15907 16631 18777 18803 18838 18848 18863 18866 18880 19059 19090 19132 19205 19273 19283 19302 19335 19407 19462 19472 19488 19511 19545 19552 19590 19609 19641 19673 19683 19700 19715 19729 19762 19769 19808 19834 19860 20012 20092 20092 20166 20166 20234 20234 20287 20287 20326 20326 20346 20346 20348 20348 20349 20349 20369 20369 20371 20371 20373 20373 20374 20374 20375 20375 20375 20376 20376 20377 20379 20379 20379 20379 20379 20379 20379 20379 20380 20384 20384 20384 20385 20385 20385 20386 20386 20386 20386 20387 20387 20387 20387 20388 20389;123;1
interactive-discover-3;0;71;22380;false;22764 22764 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22766 22766 22766 22766 22766 22766 22766 22766 22766 22766 22766 22766 22767 22767 22767 22767 22767 22767 22767 22767 22767 22767 22768 22768 22768 22768 22768 22768 22768 22768 22768 22768 22769 22769 22769 22769 22769 22769 22769 22769 22770 22770 22770 22770 22770 22770 22770 22770 22770 22770 22771 22771 22771 22771;22764 22764 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22766 22766 22766 22766 22766 22766 22766 22766 22766 22766 22766 22766 22767 22767 22767 22767 22767 22767 22767 22767 22767 22767 22768 22768 22768 22768 22768 22768 22768 22768 22768 22768 22769 22769 22769 22769 22769 22769 22769 22769 22770 22770 22770 22770 22770 22770 22770 22770 22770 22770 22771 22771 22771 22771;22764 22764 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22765 22766 22766 22766 22766 22766 22766 22766 22766 22766 22766 22766 22766 22767 22767 22767 22767 22767 22767 22767 22767 22767 22767 22768 22768 22768 22768 22768 22768 22768 22768 22768 22768 22769 22769 22769 22769 22769 22769 22769 22769 22770 22770 22770 22770 22770 22770 22770 22770 22770 22770 22771 22771 22771 22771;254;1
interactive-discover-3;1;0;60118;true;;;;148;1
interactive-discover-3;2;55;36279;false;36982 36982 36982 36983 36983 36983 36983 36983 36983 36983 36983 36983 36983 36983 36983 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36986 36986;36982 36982 36982 36983 36983 36983 36983 36983 36983 36983 36983 36983 36983 36983 36983 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36986 36986;36982 36982 36982 36983 36983 36983 36983 36983 36983 36983 36983 36983 36983 36983 36983 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36984 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36985 36986 36986;101;1
interactive-discover-3;3;203;29910;false;29898 29898 29898 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29905 29905 29905 29905 29905 29905 29905 29905 29905 29905 29905 29905 29905 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29909 29909 29909 29909 29909 29909 29909 29909 29909 29909 29909 29909 29909 29910;29898 29898 29898 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29905 29905 29905 29905 29905 29905 29905 29905 29905 29905 29905 29905 29905 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29909 29909 29909 29909 29909 29909 29909 29909 29909 29909 29909 29909 29909 29910;29898 29898 29898 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29899 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29900 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29901 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29902 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29903 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29904 29905 29905 29905 29905 29905 29905 29905 29905 29905 29905 29905 29905 29905 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29906 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29907 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29908 29909 29909 29909 29909 29909 29909 29909 29909 29909 29909 29909 29909 29909 29910;430;1
