name;id;results;time;error;timestamps;timestampsMin;timestampsMax;httpRequests;restarts
interactive-discover-1;0;6;9870;false;10055 10125 10147 10174 10348 10349;10055 10125 10147 10174 10348 10349;10055 10125 10147 10174 10348 10349;127;1
interactive-discover-1;1;4;7732;false;7002 7902 8026 8320;7002 7902 8026 8320;7002 7902 8026 8320;19;1
interactive-discover-1;2;1;7424;false;7479;7479;7479;16;0
interactive-discover-1;3;14;16708;false;10999 11007 11047 11095 11140 11171 11184 11212 11469 11508 11570 11668 11715 16950;10999 11007 11047 11095 11140 11171 11184 11212 11469 11508 11570 11668 11715 16950;10999 11007 11047 11095 11140 11171 11184 11212 11469 11508 11570 11668 11715 16950;223;1
interactive-discover-1;4;8;10411;false;9997 10016 10033 10938 10938 10938 10938 11152;9997 10016 10033 10938 10938 10938 10938 11152;9997 10016 10033 10938 10938 10938 10938 11152;122;1
interactive-discover-2;0;66;23607;false;12323 12361 12449 12449 12480 12480 12535 14814 14821 14862 15523 15990 17224 17275 17317 17367 17378 17421 18293 18326 18400 18430 18464 18498 18533 18541 18575 18600 18631 20804 20839 20949 21058 21090 23206 23236 23265 23293 23299 23326 23339 23355 23368 23370 23379 23388 23389 23390 23391 23392 23392 23392 23392 23393 23393 23393 23394 23394 23394 23395 23395 23395 23395 23605 23606 23607;12323 12361 12449 12449 12480 12480 12535 14814 14821 14862 15523 15990 17224 17275 17317 17367 17378 17421 18293 18326 18400 18430 18464 18498 18533 18541 18575 18600 18631 20804 20839 20949 21058 21090 23206 23236 23265 23293 23299 23326 23339 23355 23368 23370 23379 23388 23389 23390 23391 23392 23392 23392 23392 23393 23393 23393 23394 23394 23394 23395 23395 23395 23395 23605 23606 23607;12323 12361 12449 12449 12480 12480 12535 14814 14821 14862 15523 15990 17224 17275 17317 17367 17378 17421 18293 18326 18400 18430 18464 18498 18533 18541 18575 18600 18631 20804 20839 20949 21058 21090 23206 23236 23265 23293 23299 23326 23339 23355 23368 23370 23379 23388 23389 23390 23391 23392 23392 23392 23392 23393 23393 23393 23394 23394 23394 23395 23395 23395 23395 23605 23606 23607;128;1
interactive-discover-2;1;46;7795;false;7741 8101 8102 8104 8105 8108 8108 8110 8110 8113 8113 8114 8114 8115 8115 8117 8117 8120 8120 8126 8126 8129 8129 8131 8131 8134 8134 8134 8135 8136 8136 8137 8137 8139 8139 8140 8140 8140 8142 8142 8143 8144 8144 8144 8145 8145;7741 8101 8102 8104 8105 8108 8108 8110 8110 8113 8113 8114 8114 8115 8115 8117 8117 8120 8120 8126 8126 8129 8129 8131 8131 8134 8134 8134 8135 8136 8136 8137 8137 8139 8139 8140 8140 8140 8142 8142 8143 8144 8144 8144 8145 8145;7741 8101 8102 8104 8105 8108 8108 8110 8110 8113 8113 8114 8114 8115 8115 8117 8117 8120 8120 8126 8126 8129 8129 8131 8131 8134 8134 8134 8135 8136 8136 8137 8137 8139 8139 8140 8140 8140 8142 8142 8143 8144 8144 8144 8145 8145;20;1
interactive-discover-2;2;32;7524;false;7411 7592 7594 7595 7596 7599 7601 7602 7603 7604 7605 7606 7607 7609 7609 7610 7611 7612 7614 7615 7616 7616 7617 7617 7617 7618 7618 7618 7618 7619 7619 7619;7411 7592 7594 7595 7596 7599 7601 7602 7603 7604 7605 7606 7607 7609 7609 7610 7611 7612 7614 7615 7616 7616 7617 7617 7617 7618 7618 7618 7618 7619 7619 7619;7411 7592 7594 7595 7596 7599 7601 7602 7603 7604 7605 7606 7607 7609 7609 7610 7611 7612 7614 7615 7616 7616 7617 7617 7617 7618 7618 7618 7618 7619 7619 7619;17;1
interactive-discover-2;3;198;22266;false;13291 13291 13413 13414 13518 13518 13602 13602 13702 13702 13818 13818 13917 13917 14101 14101 14201 14201 14373 14373 14565 14565 14669 14669 14836 14836 14994 15382 15409 15519 15707 15890 15985 16108 16208 16887 17019 17119 17136 17252 17302 17389 17461 17522 17537 17627 17692 17847 17924 17984 18004 18088 18178 18341 18416 18881 19053 19053 19242 19242 22308 22417 22507 22524 22614 22706 22787 22871 22960 23073 23804 23896 23997 24019 24114 24180 24262 24344 24413 24426 24482 24519 24552 24585 24620 24626 24653 24664 24680 24715 24729 24739 24760 24826 24841 24869 24871 24895 25063 25437 25503 25534 25594 25634 25758 26057 26108 26144 26164 26195 26319 26330 26670 26699 26720 26744 26788 26791 26830 26845 26855 26861 26865 26866 26870 26874 26875 26878 26879 26883 26887 26887 26890 26892 26894 26894 26897 26902 26910 26911 26913 26915 26917 26917 26919 26920 26921 26922 26924 26925 26926 26927 26927 26930 26930 26931 26932 26932 26934 26934 26941 26944 26945 26945 26946 26946 26947 26953 26953 26953 26954 26954 26954 26957 26957 26991 27044 27062 27213 27258 27259 27325 27325 27337 27337 27351 27351 27372 27372 27375 27375 27379 27379 27379 27379 27379 27380 27380;13291 13291 13413 13414 13518 13518 13602 13602 13702 13702 13818 13818 13917 13917 14101 14101 14201 14201 14373 14373 14565 14565 14669 14669 14836 14836 14994 15382 15409 15519 15707 15890 15985 16108 16208 16887 17019 17119 17136 17252 17302 17389 17461 17522 17537 17627 17692 17847 17924 17984 18004 18088 18178 18341 18416 18881 19053 19053 19242 19242 22308 22417 22507 22524 22614 22706 22787 22871 22960 23073 23804 23896 23997 24019 24114 24180 24262 24344 24413 24426 24482 24519 24552 24585 24620 24626 24653 24664 24680 24715 24729 24739 24760 24826 24841 24869 24871 24895 25063 25437 25503 25534 25594 25634 25758 26057 26108 26144 26164 26195 26319 26330 26670 26699 26720 26744 26788 26791 26830 26845 26855 26861 26865 26866 26870 26874 26875 26878 26879 26883 26887 26887 26890 26892 26894 26894 26897 26902 26910 26911 26913 26915 26917 26917 26919 26920 26921 26922 26924 26925 26926 26927 26927 26930 26930 26931 26932 26932 26934 26934 26941 26944 26945 26945 26946 26946 26947 26953 26953 26953 26954 26954 26954 26957 26957 26991 27044 27062 27213 27258 27259 27325 27325 27337 27337 27351 27351 27372 27372 27375 27375 27379 27379 27379 27379 27379 27380 27380;13291 13291 13413 13414 13518 13518 13602 13602 13702 13702 13818 13818 13917 13917 14101 14101 14201 14201 14373 14373 14565 14565 14669 14669 14836 14836 14994 15382 15409 15519 15707 15890 15985 16108 16208 16887 17019 17119 17136 17252 17302 17389 17461 17522 17537 17627 17692 17847 17924 17984 18004 18088 18178 18341 18416 18881 19053 19053 19242 19242 22308 22417 22507 22524 22614 22706 22787 22871 22960 23073 23804 23896 23997 24019 24114 24180 24262 24344 24413 24426 24482 24519 24552 24585 24620 24626 24653 24664 24680 24715 24729 24739 24760 24826 24841 24869 24871 24895 25063 25437 25503 25534 25594 25634 25758 26057 26108 26144 26164 26195 26319 26330 26670 26699 26720 26744 26788 26791 26830 26845 26855 26861 26865 26866 26870 26874 26875 26878 26879 26883 26887 26887 26890 26892 26894 26894 26897 26902 26910 26911 26913 26915 26917 26917 26919 26920 26921 26922 26924 26925 26926 26927 26927 26930 26930 26931 26932 26932 26934 26934 26941 26944 26945 26945 26946 26946 26947 26953 26953 26953 26954 26954 26954 26957 26957 26991 27044 27062 27213 27258 27259 27325 27325 27337 27337 27351 27351 27372 27372 27375 27375 27379 27379 27379 27379 27379 27380 27380;224;1
interactive-discover-2;4;98;23560;false;15391 15439 15538 15680 17473 18044 18597 20973 20998 21031 21038 21150 21202 21257 21301 21343 21356 21401 21432 21461 21491 21523 21530 21664 21668 21679 21695 21709 21722 21737 21761 21784 21890 21921 21955 21986 21999 22041 22103 22128 22172 22195 22379 22428 22442 22515 22606 22633 22666 22687 22709 22843 22843 22904 22904 23003 23004 23077 23077 23161 23161 23228 23871 23936 23936 23997 23997 24043 24043 24093 24093 24119 24119 24141 24141 24151 24151 24168 24168 24175 24175 24181 24181 24187 24188 24192 24192 24193 24193 24194 24194 24194 24194 24195 24195 24195 24195 24196;15391 15439 15538 15680 17473 18044 18597 20973 20998 21031 21038 21150 21202 21257 21301 21343 21356 21401 21432 21461 21491 21523 21530 21664 21668 21679 21695 21709 21722 21737 21761 21784 21890 21921 21955 21986 21999 22041 22103 22128 22172 22195 22379 22428 22442 22515 22606 22633 22666 22687 22709 22843 22843 22904 22904 23003 23004 23077 23077 23161 23161 23228 23871 23936 23936 23997 23997 24043 24043 24093 24093 24119 24119 24141 24141 24151 24151 24168 24168 24175 24175 24181 24181 24187 24188 24192 24192 24193 24193 24194 24194 24194 24194 24195 24195 24195 24195 24196;15391 15439 15538 15680 17473 18044 18597 20973 20998 21031 21038 21150 21202 21257 21301 21343 21356 21401 21432 21461 21491 21523 21530 21664 21668 21679 21695 21709 21722 21737 21761 21784 21890 21921 21955 21986 21999 22041 22103 22128 22172 22195 22379 22428 22442 22515 22606 22633 22666 22687 22709 22843 22843 22904 22904 23003 23004 23077 23077 23161 23161 23228 23871 23936 23936 23997 23997 24043 24043 24093 24093 24119 24119 24141 24141 24151 24151 24168 24168 24175 24175 24181 24181 24187 24188 24192 24192 24193 24193 24194 24194 24194 24194 24195 24195 24195 24195 24196;123;1
