name;id;error;time;timeMin;timeMax;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;httpRequestsMin;httpRequestsMax;restarts;restartsMin;restartsMax
interactive-discover-1;0;false;18997;18671;19185;false;6;6;6;13699 13725 14081 16887 17605 19184;13699 13725 14081 16887 17605 19184;13699 13725 14081 16887 17605 19184;127;127;127;1;1;1
interactive-discover-1;1;false;7653;7248;8469;false;4;4;4;7298 8467 8467 8468;7298 8467 8467 8468;7298 8467 8467 8468;19;19;19;0;0;0
interactive-discover-1;2;false;7529;7308;8024;false;1;1;1;8024;8024;8024;16;16;16;0;0;0
interactive-discover-1;3;false;26267;26182;26391;false;14;14;14;7693 7693 7765 7765 11283 11342 11413 11486 11559 11616 11675 11744 15664 16739;7693 7693 7765 7765 11283 11342 11413 11486 11559 11616 11675 11744 15664 16739;7693 7693 7765 7765 11283 11342 11413 11486 11559 11616 11675 11744 15664 16739;223;223;223;1;1;1
interactive-discover-1;4;false;19407;19136;19539;false;8;8;8;13803 14192 15382 16606 17230 17234 17310 19498;13803 14192 15382 16606 17230 17234 17310 19498;13803 14192 15382 16606 17230 17234 17310 19498;122;122;122;1;1;1
interactive-discover-2;0;false;20098;19214;21689;false;66;66;66;11012 11266 11279 11373 11466 11516 11560 11603 11668 11964 13354 13382 13487 13487 13541 13541 13615 13615 13684 13684 14309 14319 14349 14401 14461 14618 14873 15045 15139 15295 15523 16749 18990 19011 19016 19032 19046 19390 19391 19391 19391 19392 19392 19392 19392 19392 19392 19393 19393 19393 19393 19393 19393 19394 19394 19394 19394 19394 19395 19395 19395 19395 19396 21687 21688 21688;11012 11266 11279 11373 11466 11516 11560 11603 11668 11964 13354 13382 13487 13487 13541 13541 13615 13615 13684 13684 14309 14319 14349 14401 14461 14618 14873 15045 15139 15295 15523 16749 18990 19011 19016 19032 19046 19390 19391 19391 19391 19392 19392 19392 19392 19392 19392 19393 19393 19393 19393 19393 19393 19394 19394 19394 19394 19394 19395 19395 19395 19395 19396 21687 21688 21688;11012 11266 11279 11373 11466 11516 11560 11603 11668 11964 13354 13382 13487 13487 13541 13541 13615 13615 13684 13684 14309 14319 14349 14401 14461 14618 14873 15045 15139 15295 15523 16749 18990 19011 19016 19032 19046 19390 19391 19391 19391 19392 19392 19392 19392 19392 19392 19393 19393 19393 19393 19393 19393 19394 19394 19394 19394 19394 19395 19395 19395 19395 19396 21687 21688 21688;128;128;128;1;1;1
interactive-discover-2;1;false;7554;7380;7662;false;46;46;46;6865 6885 7037 7204 7220 7234 7249 7262 7301 7305 7352 7378 7438 7438 7474 7492 7494 7508 7521 7537 7541 7545 7546 7562 7572 7584 7585 7590 7594 7607 7614 7615 7619 7625 7633 7634 7639 7647 7649 7651 7654 7656 7657 7658 7659 7662;6865 6885 7037 7204 7220 7234 7249 7262 7301 7305 7352 7378 7438 7438 7474 7492 7494 7508 7521 7537 7541 7545 7546 7562 7572 7584 7585 7590 7594 7607 7614 7615 7619 7625 7633 7634 7639 7647 7649 7651 7654 7656 7657 7658 7659 7662;6865 6885 7037 7204 7220 7234 7249 7262 7301 7305 7352 7378 7438 7438 7474 7492 7494 7508 7521 7537 7541 7545 7546 7562 7572 7584 7585 7590 7594 7607 7614 7615 7619 7625 7633 7634 7639 7647 7649 7651 7654 7656 7657 7658 7659 7662;20;20;20;0;0;0
interactive-discover-2;2;false;7721;7349;7942;false;32;32;32;7626 7660 7685 7688 7695 7713 7759 7759 7778 7779 7800 7801 7811 7812 7824 7824 7848 7848 7878 7878 7909 7909 7929 7929 7931 7931 7933 7934 7938 7938 7940 7942;7626 7660 7685 7688 7695 7713 7759 7759 7778 7779 7800 7801 7811 7812 7824 7824 7848 7848 7878 7878 7909 7909 7929 7929 7931 7931 7933 7934 7938 7938 7940 7942;7626 7660 7685 7688 7695 7713 7759 7759 7778 7779 7800 7801 7811 7812 7824 7824 7848 7848 7878 7878 7909 7909 7929 7929 7931 7931 7933 7934 7938 7938 7940 7942;17;17;17;0;0;0
interactive-discover-2;3;false;29974;29692;30766;false;198;198;198;8229 8305 8317 8420 8714 8804 9658 9733 9970 10085 10227 10326 10344 10454 10549 10629 10704 10799 10930 11082 11171 11257 11272 11348 11406 11504 11549 11638 11713 11790 11878 11962 12034 12056 12121 12176 12768 12830 12875 12889 12932 12974 13035 13096 13113 13161 13219 13274 13358 13376 13461 13504 13553 13626 13718 13744 13929 14003 14241 14241 14359 14359 14468 14468 14612 14612 14817 14818 14998 14999 15134 15135 15235 15235 15371 15371 15496 15496 15671 15671 15763 15763 15869 15870 16014 16014 16149 16149 16218 16219 16369 16369 16448 16469 23857 23969 24066 24130 24150 24182 24257 24359 24439 24464 24503 24534 24593 26701 26882 27044 27135 27243 27323 27415 27505 27579 27600 27670 27725 27785 27827 27867 27878 27921 29607 29666 29714 29786 29798 29876 29920 29955 29986 29998 30021 30044 30075 30089 30093 30099 30107 30112 30116 30117 30118 30119 30120 30121 30121 30121 30122 30122 30123 30123 30123 30124 30124 30124 30125 30125 30125 30125 30125 30126 30126 30126 30126 30127 30127 30220 30221 30222 30223 30224 30224 30225 30225 30225 30225 30226 30226 30226 30226 30227 30227 30227 30227 30227 30761 30761 30761 30761 30763 30763 30764 30764 30765 30765;8229 8305 8317 8420 8714 8804 9658 9733 9970 10085 10227 10326 10344 10454 10549 10629 10704 10799 10930 11082 11171 11257 11272 11348 11406 11504 11549 11638 11713 11790 11878 11962 12034 12056 12121 12176 12768 12830 12875 12889 12932 12974 13035 13096 13113 13161 13219 13274 13358 13376 13461 13504 13553 13626 13718 13744 13929 14003 14241 14241 14359 14359 14468 14468 14612 14612 14817 14818 14998 14999 15134 15135 15235 15235 15371 15371 15496 15496 15671 15671 15763 15763 15869 15870 16014 16014 16149 16149 16218 16219 16369 16369 16448 16469 23857 23969 24066 24130 24150 24182 24257 24359 24439 24464 24503 24534 24593 26701 26882 27044 27135 27243 27323 27415 27505 27579 27600 27670 27725 27785 27827 27867 27878 27921 29607 29666 29714 29786 29798 29876 29920 29955 29986 29998 30021 30044 30075 30089 30093 30099 30107 30112 30116 30117 30118 30119 30120 30121 30121 30121 30122 30122 30123 30123 30123 30124 30124 30124 30125 30125 30125 30125 30125 30126 30126 30126 30126 30127 30127 30220 30221 30222 30223 30224 30224 30225 30225 30225 30225 30226 30226 30226 30226 30227 30227 30227 30227 30227 30761 30761 30761 30761 30763 30763 30764 30764 30765 30765;8229 8305 8317 8420 8714 8804 9658 9733 9970 10085 10227 10326 10344 10454 10549 10629 10704 10799 10930 11082 11171 11257 11272 11348 11406 11504 11549 11638 11713 11790 11878 11962 12034 12056 12121 12176 12768 12830 12875 12889 12932 12974 13035 13096 13113 13161 13219 13274 13358 13376 13461 13504 13553 13626 13718 13744 13929 14003 14241 14241 14359 14359 14468 14468 14612 14612 14817 14818 14998 14999 15134 15135 15235 15235 15371 15371 15496 15496 15671 15671 15763 15763 15869 15870 16014 16014 16149 16149 16218 16219 16369 16369 16448 16469 23857 23969 24066 24130 24150 24182 24257 24359 24439 24464 24503 24534 24593 26701 26882 27044 27135 27243 27323 27415 27505 27579 27600 27670 27725 27785 27827 27867 27878 27921 29607 29666 29714 29786 29798 29876 29920 29955 29986 29998 30021 30044 30075 30089 30093 30099 30107 30112 30116 30117 30118 30119 30120 30121 30121 30121 30122 30122 30123 30123 30123 30124 30124 30124 30125 30125 30125 30125 30125 30126 30126 30126 30126 30127 30127 30220 30221 30222 30223 30224 30224 30225 30225 30225 30225 30226 30226 30226 30226 30227 30227 30227 30227 30227 30761 30761 30761 30761 30763 30763 30764 30764 30765 30765;224;224;224;1;1;1
interactive-discover-2;4;false;20722;20022;21352;false;98;98;98;11879 11917 11957 11999 12028 12065 12101 12129 12164 12192 12238 12247 12346 12936 12973 13007 13039 14982 16505 17755 17784 17802 18007 18030 18051 18083 18118 18172 18187 18226 18271 18290 18302 18349 18360 18451 18534 18534 18576 18576 18651 19331 19337 19354 19369 19381 19401 19403 19425 19444 19449 19452 19455 19456 19456 19462 19462 19463 19463 19464 19464 19464 19464 19464 19465 19465 19466 19473 20052 20053 20053 20053 20054 20054 20055 20266 20266 20266 20266 20266 20266 20266 20267 20267 20267 20267 20267 20268 20268 20268 20268 20268 20268 20269 20269 20269 20269 21351;11879 11917 11957 11999 12028 12065 12101 12129 12164 12192 12238 12247 12346 12936 12973 13007 13039 14982 16505 17755 17784 17802 18007 18030 18051 18083 18118 18172 18187 18226 18271 18290 18302 18349 18360 18451 18534 18534 18576 18576 18651 19331 19337 19354 19369 19381 19401 19403 19425 19444 19449 19452 19455 19456 19456 19462 19462 19463 19463 19464 19464 19464 19464 19464 19465 19465 19466 19473 20052 20053 20053 20053 20054 20054 20055 20266 20266 20266 20266 20266 20266 20266 20267 20267 20267 20267 20267 20268 20268 20268 20268 20268 20268 20269 20269 20269 20269 21351;11879 11917 11957 11999 12028 12065 12101 12129 12164 12192 12238 12247 12346 12936 12973 13007 13039 14982 16505 17755 17784 17802 18007 18030 18051 18083 18118 18172 18187 18226 18271 18290 18302 18349 18360 18451 18534 18534 18576 18576 18651 19331 19337 19354 19369 19381 19401 19403 19425 19444 19449 19452 19455 19456 19456 19462 19462 19463 19463 19464 19464 19464 19464 19464 19465 19465 19466 19473 20052 20053 20053 20053 20054 20054 20055 20266 20266 20266 20266 20266 20266 20266 20267 20267 20267 20267 20267 20268 20268 20268 20268 20268 20268 20269 20269 20269 20269 21351;123;123;123;1;1;1
