name;id;error;time;timeMin;timeMax;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;httpRequestsMin;httpRequestsMax;restarts;restartsMin;restartsMax
interactive-discover-1;0;false;27703;27209;28133;false;6;6;6;14263 14286 16351 22480 23247 28132;14263 14286 16351 22480 23247 28132;14263 14286 16351 22480 23247 28132;127;127;127;1;1;1
interactive-discover-1;1;false;7884;7533;8281;false;4;4;4;7342 8270 8276 8281;7342 8270 8276 8281;7342 8270 8276 8281;19;19;19;0;0;0
interactive-discover-1;2;false;7083;6952;7602;false;1;1;1;7601;7601;7601;16;16;16;0;0;0
interactive-discover-1;3;false;24879;24626;25013;false;14;14;14;11817 11841 11850 11880 11905 12029 12086 12415 12533 12533 14328 14372 14617 16985;11817 11841 11850 11880 11905 12029 12086 12415 12533 12533 14328 14372 14617 16985;11817 11841 11850 11880 11905 12029 12086 12415 12533 12533 14328 14372 14617 16985;223;223;223;1;1;1
interactive-discover-1;4;false;25951;25396;26901;false;8;8;8;13705 14100 14392 16984 20669 20674 20775 26308;13705 14100 14392 16984 20669 20674 20775 26308;13705 14100 14392 16984 20669 20674 20775 26308;122;122;122;1;1;1
interactive-discover-2;0;false;30583;30340;30980;false;66;66;66;11501 11569 11658 11686 11725 11755 11767 11977 12264 12302 12311 14039 14075 14209 14424 14470 16993 21994 25194 25769 26164 26188 28865 28892 29060 29198 29242 29292 29330 29345 29388 29431 29538 29538 30609 30645 30687 30764 30796 30868 30868 30914 30914 30944 30944 30961 30961 30970 30970 30975 30975 30976 30976 30976 30976 30977 30977 30977 30977 30978 30978 30978 30978 30978 30978 30979;11501 11569 11658 11686 11725 11755 11767 11977 12264 12302 12311 14039 14075 14209 14424 14470 16993 21994 25194 25769 26164 26188 28865 28892 29060 29198 29242 29292 29330 29345 29388 29431 29538 29538 30609 30645 30687 30764 30796 30868 30868 30914 30914 30944 30944 30961 30961 30970 30970 30975 30975 30976 30976 30976 30976 30977 30977 30977 30977 30978 30978 30978 30978 30978 30978 30979;11501 11569 11658 11686 11725 11755 11767 11977 12264 12302 12311 14039 14075 14209 14424 14470 16993 21994 25194 25769 26164 26188 28865 28892 29060 29198 29242 29292 29330 29345 29388 29431 29538 29538 30609 30645 30687 30764 30796 30868 30868 30914 30914 30944 30944 30961 30961 30970 30970 30975 30975 30976 30976 30976 30976 30977 30977 30977 30977 30978 30978 30978 30978 30978 30978 30979;128;128;128;1;1;1
interactive-discover-2;1;false;7779;7716;7941;false;46;46;46;7741 7743 7746 7752 7756 7757 7760 7761 7762 7764 7765 7768 7769 7774 7774 7774 7774 7774 7778 7781 7782 7783 7784 7785 7786 7786 7787 7788 7788 7789 7801 7802 7803 7803 7803 7804 7804 7805 7815 7816 7817 7818 7818 7819 7820 7940;7741 7743 7746 7752 7756 7757 7760 7761 7762 7764 7765 7768 7769 7774 7774 7774 7774 7774 7778 7781 7782 7783 7784 7785 7786 7786 7787 7788 7788 7789 7801 7802 7803 7803 7803 7804 7804 7805 7815 7816 7817 7818 7818 7819 7820 7940;7741 7743 7746 7752 7756 7757 7760 7761 7762 7764 7765 7768 7769 7774 7774 7774 7774 7774 7778 7781 7782 7783 7784 7785 7786 7786 7787 7788 7788 7789 7801 7802 7803 7803 7803 7804 7804 7805 7815 7816 7817 7818 7818 7819 7820 7940;20;20;20;0;0;0
interactive-discover-2;2;false;7591;7406;7894;false;32;32;32;7860 7861 7862 7864 7866 7867 7870 7871 7873 7874 7875 7876 7877 7878 7880 7880 7881 7882 7883 7886 7888 7890 7890 7891 7891 7892 7892 7893 7893 7893 7893 7894;7860 7861 7862 7864 7866 7867 7870 7871 7873 7874 7875 7876 7877 7878 7880 7880 7881 7882 7883 7886 7888 7890 7890 7891 7891 7892 7892 7893 7893 7893 7893 7894;7860 7861 7862 7864 7866 7867 7870 7871 7873 7874 7875 7876 7877 7878 7880 7880 7881 7882 7883 7886 7888 7890 7890 7891 7891 7892 7892 7893 7893 7893 7893 7894;17;17;17;0;0;0
interactive-discover-2;3;false;29246;29086;29533;false;198;198;198;10088 10282 10282 11142 11414 11476 12079 12145 12165 12231 12292 12860 13050 13050 13155 13155 13227 13227 13333 13386 14306 14482 14550 14739 14803 14871 14944 15019 15039 15117 15187 15232 15279 15348 15419 15456 15492 15574 15704 15741 15818 15872 15958 16098 16124 16253 16311 16369 16418 16476 16489 16569 16625 16677 16715 16757 24999 25064 25136 25158 25589 25649 25711 25768 25829 25848 25901 25953 26032 26100 26461 26866 26928 27000 27021 27088 27140 27186 27236 27287 27303 27338 27367 27394 27467 27569 27600 27772 27806 27838 27853 27914 27921 28125 28250 28307 28347 28371 28380 28435 28498 28538 28559 28568 28583 28612 28663 28702 28715 28726 28735 28747 28765 28786 28794 28813 28832 28861 28870 28880 28895 28901 28906 28910 28915 28917 28925 28934 28937 28940 28941 28943 28946 28950 28951 28953 28954 28956 28957 28959 28960 28962 28964 28965 28970 28975 28975 28980 28985 28987 28988 28991 28993 28998 28998 28999 29000 29002 29003 29003 29003 29003 29004 29004 29004 29004 29005 29005 29009 29015 29016 29025 29061 29086 29097 29114 29127 29173 29178 29266 29278 29285 29301 29306 29353 29420 29443 29451 29530 29531 29531 29531 29531 29531 29531 29531 29531 29532;10088 10282 10282 11142 11414 11476 12079 12145 12165 12231 12292 12860 13050 13050 13155 13155 13227 13227 13333 13386 14306 14482 14550 14739 14803 14871 14944 15019 15039 15117 15187 15232 15279 15348 15419 15456 15492 15574 15704 15741 15818 15872 15958 16098 16124 16253 16311 16369 16418 16476 16489 16569 16625 16677 16715 16757 24999 25064 25136 25158 25589 25649 25711 25768 25829 25848 25901 25953 26032 26100 26461 26866 26928 27000 27021 27088 27140 27186 27236 27287 27303 27338 27367 27394 27467 27569 27600 27772 27806 27838 27853 27914 27921 28125 28250 28307 28347 28371 28380 28435 28498 28538 28559 28568 28583 28612 28663 28702 28715 28726 28735 28747 28765 28786 28794 28813 28832 28861 28870 28880 28895 28901 28906 28910 28915 28917 28925 28934 28937 28940 28941 28943 28946 28950 28951 28953 28954 28956 28957 28959 28960 28962 28964 28965 28970 28975 28975 28980 28985 28987 28988 28991 28993 28998 28998 28999 29000 29002 29003 29003 29003 29003 29004 29004 29004 29004 29005 29005 29009 29015 29016 29025 29061 29086 29097 29114 29127 29173 29178 29266 29278 29285 29301 29306 29353 29420 29443 29451 29530 29531 29531 29531 29531 29531 29531 29531 29531 29532;10088 10282 10282 11142 11414 11476 12079 12145 12165 12231 12292 12860 13050 13050 13155 13155 13227 13227 13333 13386 14306 14482 14550 14739 14803 14871 14944 15019 15039 15117 15187 15232 15279 15348 15419 15456 15492 15574 15704 15741 15818 15872 15958 16098 16124 16253 16311 16369 16418 16476 16489 16569 16625 16677 16715 16757 24999 25064 25136 25158 25589 25649 25711 25768 25829 25848 25901 25953 26032 26100 26461 26866 26928 27000 27021 27088 27140 27186 27236 27287 27303 27338 27367 27394 27467 27569 27600 27772 27806 27838 27853 27914 27921 28125 28250 28307 28347 28371 28380 28435 28498 28538 28559 28568 28583 28612 28663 28702 28715 28726 28735 28747 28765 28786 28794 28813 28832 28861 28870 28880 28895 28901 28906 28910 28915 28917 28925 28934 28937 28940 28941 28943 28946 28950 28951 28953 28954 28956 28957 28959 28960 28962 28964 28965 28970 28975 28975 28980 28985 28987 28988 28991 28993 28998 28998 28999 29000 29002 29003 29003 29003 29003 29004 29004 29004 29004 29005 29005 29009 29015 29016 29025 29061 29086 29097 29114 29127 29173 29178 29266 29278 29285 29301 29306 29353 29420 29443 29451 29530 29531 29531 29531 29531 29531 29531 29531 29531 29532;224;224;224;1;1;1
interactive-discover-2;4;false;30070;29739;30229;false;98;98;98;13377 13392 13548 13558 14630 14670 14712 14747 14777 16319 16603 25032 27522 27545 27575 27599 27623 27635 27662 27697 27848 27865 27922 27964 28028 28084 28096 28122 28156 28324 28344 28379 28392 28439 28464 28505 28524 28702 28746 28779 28810 28843 28866 28872 29047 29070 29117 29180 29248 29272 29278 29326 29392 29410 29673 29701 29730 29776 29837 29855 29863 29882 29929 29987 30015 30025 30047 30067 30194 30206 30212 30214 30215 30217 30217 30218 30221 30221 30221 30221 30222 30222 30222 30223 30223 30224 30224 30224 30224 30224 30225 30226 30226 30226 30226 30226 30227 30228;13377 13392 13548 13558 14630 14670 14712 14747 14777 16319 16603 25032 27522 27545 27575 27599 27623 27635 27662 27697 27848 27865 27922 27964 28028 28084 28096 28122 28156 28324 28344 28379 28392 28439 28464 28505 28524 28702 28746 28779 28810 28843 28866 28872 29047 29070 29117 29180 29248 29272 29278 29326 29392 29410 29673 29701 29730 29776 29837 29855 29863 29882 29929 29987 30015 30025 30047 30067 30194 30206 30212 30214 30215 30217 30217 30218 30221 30221 30221 30221 30222 30222 30222 30223 30223 30224 30224 30224 30224 30224 30225 30226 30226 30226 30226 30226 30227 30228;13377 13392 13548 13558 14630 14670 14712 14747 14777 16319 16603 25032 27522 27545 27575 27599 27623 27635 27662 27697 27848 27865 27922 27964 28028 28084 28096 28122 28156 28324 28344 28379 28392 28439 28464 28505 28524 28702 28746 28779 28810 28843 28866 28872 29047 29070 29117 29180 29248 29272 29278 29326 29392 29410 29673 29701 29730 29776 29837 29855 29863 29882 29929 29987 30015 30025 30047 30067 30194 30206 30212 30214 30215 30217 30217 30218 30221 30221 30221 30221 30222 30222 30222 30223 30223 30224 30224 30224 30224 30224 30225 30226 30226 30226 30226 30226 30227 30228;123;123;123;1;1;1
